length, entropy, alexa_grams, word_grams, diff, class
21,3.272804,78.57751,123.311723,-44.734214,legit
16,3.155639,69.930352,77.805429,-7.875077,legit
8,2.5,21.005432,37.086304,-16.080872,legit
22,3.2433,33.599155,46.945698,-13.346543,legit
10,2.721928,31.494004,32.808355,-1.314351,legit
14,3.039149,52.056818,58.220097,-6.163279,legit
13,3.392747,32.134497,43.524176,-11.389679,legit
16,3.125,78.311533,78.078151,0.233382,legit
14,3.378783,56.01515,46.352762,9.662388,legit
15,3.323231,57.180255,72.915623,-15.735368,legit
10,3.121928,36.359605,40.044334,-3.684729,legit
18,3.419382,86.365007,98.961915,-12.596909,legit
13,2.873141,57.98423,75.239905,-17.255675,legit
8,2.75,13.982612,15.276583,-1.293971,legit
17,3.263933,55.537143,81.862332,-26.32519,legit
9,2.947703,28.302305,37.208236,-8.905931,legit
21,3.558519,101.432337,124.609984,-23.177647,legit
15,3.589898,64.653068,62.279254,2.373814,legit
10,2.846439,31.776687,33.283844,-1.507156,legit
7,2.807355,11.974491,14.028933,-2.054442,legit
6,2.251629,6.898312,10.213607,-3.315294,legit
8,3,15.218236,19.424617,-4.20638,legit
7,2.807355,11.648907,12.620904,-0.971997,legit
14,3.378783,63.268297,49.831373,13.436924,legit
5,2.321928,5.384576,5.803954,-0.419378,legit
9,3.169925,20.78824,29.262514,-8.474274,legit
18,3.46132,74.849679,89.705517,-14.855837,legit
7,2.235926,20.138126,22.913162,-2.775036,legit
3,1.584963,2.583199,3.087426,-0.504228,legit
8,2.75,14.972046,16.72805,-1.756005,legit
13,3.546594,42.564071,40.353049,2.211022,legit
20,3.446439,88.322168,114.338372,-26.016204,legit
17,3.616875,64.662068,70.703112,-6.041044,legit
16,3.5,50.111374,70.988942,-20.877568,legit
14,3.521641,47.964005,49.560777,-1.596772,legit
7,2.521641,11.449778,7.31434,4.135438,legit
7,2.521641,21.683518,24.903454,-3.219937,legit
12,2.855389,42.781342,55.982212,-13.20087,legit
18,3.350209,54.768734,61.828958,-7.060224,legit
11,3.095795,42.820385,46.078457,-3.258071,legit
8,2.5,13.14848,15.269699,-2.121219,legit
11,3.277613,41.129543,57.903874,-16.774331,legit
8,2.405639,6.388902,2.724276,3.664626,legit
14,3.378783,46.246395,59.585766,-13.339371,legit
15,3.589898,48.607483,61.447499,-12.840017,legit
6,2.584963,15.445217,22.49629,-7.051073,legit
10,2.921928,25.48736,36.551822,-11.064462,legit
8,2.75,23.254079,28.496345,-5.242266,legit
11,3.095795,32.910384,37.665868,-4.755484,legit
10,2.721928,31.746312,38.981005,-7.234693,legit
11,2.845351,36.974585,46.369173,-9.394588,legit
8,3,29.404791,34.886117,-5.481326,legit
12,3.084963,40.297307,45.119667,-4.82236,legit
7,2.521641,12.337268,14.656533,-2.319265,legit
11,3.277613,34.360453,45.611605,-11.251153,legit
13,3.180833,58.381434,73.03048,-14.649046,legit
7,2.807355,11.868986,17.415801,-5.546815,legit
12,3.084963,24.625933,36.949951,-12.324019,legit
11,2.663533,47.21093,30.515898,16.695033,legit
9,2.947703,26.973862,35.750983,-8.777121,legit
9,2.725481,24.132791,28.199478,-4.066686,legit
5,2.321928,5.492637,7.718304,-2.225667,legit
18,3.239098,52.217208,62.965924,-10.748716,legit
15,3.640224,69.943543,68.144534,1.799009,legit
6,2.251629,14.491042,18.618297,-4.127255,legit
5,2.321928,7.541762,9.839652,-2.29789,legit
18,3.503258,72.412701,74.555574,-2.142873,legit
11,2.663533,42.125364,50.369863,-8.244499,legit
7,2.807355,13.654133,14.409825,-0.755692,legit
4,2,3.0187,4.142327,-1.123626,legit
12,3.084963,59.845583,75.398525,-15.552942,legit
16,3.32782,38.138782,52.277076,-14.138294,legit
16,2.95282,57.179496,67.183681,-10.004186,legit
22,3.538311,100.845681,137.552527,-36.706846,legit
9,2.947703,26.776386,43.04246,-16.266074,legit
7,2.235926,20.144155,30.658897,-10.514742,legit
9,2.947703,27.482162,27.832679,-0.350517,legit
10,3.121928,34.928278,38.154508,-3.22623,legit
